År,Månad,Län,Aktiebolag,Bankaktiebolag,Bankfilial,Bostadsförening,Bostadsrättsförening,Ekonomisk förening,Enskild näringsidkare,Europabolag,Europakooperativ,Europeiska grupperingar för territoriellt samarbete,Filial,Försäkringsaktiebolag,Försäkringsförening,Handelsbolag,Ideella föreningar som bedriver näringsverksamhet,Kommanditbolag,Kooperativ hyresrättsförening,Medlemsbank,Sambruksförening,Sparbank,Stiftelse som bedriver näringsverksamhet,Tjänstepensionsaktiebolag,Tjänstepensionsförening,Trossamfund som bedriver näringsverksamhet,Ömsesidigt försäkringsbolag,Ömsesidigt tjänstepensionsbolag
2020,1,20,128,0,0,0,7,0,28,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2020,2,20,99,0,0,0,1,0,30,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,20,120,0,0,0,1,0,43,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,20,84,0,0,0,0,3,29,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020,5,20,79,0,0,0,12,1,28,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2020,6,20,93,0,0,0,1,3,34,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,20,62,0,0,0,0,0,6,0,0,0,2,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0
2020,8,20,76,0,0,0,1,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2020,9,20,119,0,0,0,13,0,42,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2020,10,20,108,0,0,0,3,0,29,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2020,11,20,121,0,0,0,6,2,30,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0
2020,12,20,125,0,0,0,6,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,1,20,121,0,0,0,22,11,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2021,2,20,117,0,0,0,3,1,25,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021,3,20,126,0,0,0,15,0,36,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0
2021,4,20,117,0,0,0,18,13,26,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0
2021,5,20,116,0,0,0,8,8,28,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0
2021,6,20,105,0,0,0,7,2,20,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
2021,7,20,40,0,0,0,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,8,20,75,0,0,0,1,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,9,20,149,0,0,0,21,1,51,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0
2021,10,20,107,0,0,0,10,1,35,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0
2021,11,20,119,0,0,0,1,18,21,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
2021,12,20,144,0,0,0,1,1,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,20,146,0,0,0,3,1,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,20,111,0,0,0,12,15,36,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
2022,3,20,120,0,0,0,12,1,34,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
2022,4,20,99,0,0,0,1,0,36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2022,5,20,125,0,0,0,6,0,29,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2022,6,20,81,0,0,0,0,3,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2022,7,20,65,0,0,0,11,10,11,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0
2022,8,20,91,0,0,0,1,1,19,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2022,9,20,137,0,0,0,1,1,42,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
2022,10,20,80,0,0,0,3,12,20,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
2022,11,20,87,0,0,0,11,0,23,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
2022,12,20,133,0,0,0,1,2,14,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0
2023,1,20,135,0,0,0,1,2,30,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2023,2,20,79,0,0,0,0,2,32,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2023,3,20,106,0,0,0,0,2,36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,20,80,0,0,0,0,0,15,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
2023,5,20,76,0,0,0,0,6,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,6,20,73,0,0,0,0,0,27,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
2023,7,20,60,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023,8,20,89,0,0,0,0,0,42,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2023,9,20,90,0,0,0,0,0,29,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2023,10,20,102,0,0,0,0,1,26,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
2023,11,20,102,0,0,0,0,0,24,0,0,0,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
2023,12,20,143,0,0,0,0,5,17,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,20,103,0,0,0,10,5,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2024,2,20,94,0,0,0,2,1,23,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2024,3,20,84,0,0,0,1,1,13,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
2024,4,20,69,0,0,0,14,10,16,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2024,5,20,73,0,0,0,7,15,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,20,74,0,0,0,2,0,12,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2024,7,20,58,0,0,0,0,0,13,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0
2024,8,20,61,0,0,0,1,1,26,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2024,9,20,98,0,0,0,6,6,32,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
